file_name,entry_id,block_name,source_tag,name_metal_tag,topology_tag,dim_tag,file_size_bytes,file_sha1,chemical_formula_sum_raw,parse_status,parse_fail_reason
KIRTOW_ASR_pacman.cif,KIRTOW,KIRTOW_ASR_pacman,ASR,,,,10773,2cfa40833dcf741da107742fc30b569861f3712f,'Al16 P28 H28 O84',PASS,
KIRTOW_FSR_pacman.cif,KIRTOW,KIRTOW_FSR_pacman,FSR,,,,13141,cd2c9b5f51ea663cb784ee83857c5fd2c2f916f9,'Al16 P28 H52 O96',PASS,
KIRTUC_ASR_pacman.cif,KIRTUC,KIRTUC_ASR_pacman,ASR,,,,6697,b6c80ae8159eb9f61b49e3eef5357a8b747bc75e,'Be12 P16 H16 O48',PASS,
KIRTUC_FSR_pacman.cif,KIRTUC,KIRTUC_FSR_pacman,FSR,,,,6695,bd52f0cd9cc9b41794d65e6e9de11313414df1bb,'Be12 P16 H16 O48',PASS,
KISVEO_ASR_pacman.cif,KISVEO,KISVEO_ASR_pacman,ASR,,,,14865,dcfd538348387c688a4a3f9cf8e6ee782cdce79f,'U28 S38 O152',PASS,
KISVEO_FSR_pacman.cif,KISVEO,KISVEO_FSR_pacman,FSR,,,,19057,faf5e5ec84f5346546886ef6a0f1b222f5fcabe5,'U28 S38 O216',PASS,
KITVEQ_ASR_pacman.cif,KITVEQ,KITVEQ_ASR_pacman,ASR,,,,20079,55c26857aed47c15419ff8d90e392cfa19913e8a,'Zn4 H104 C164 N8 O20',PASS,
KITVEQ_FSR_pacman.cif,KITVEQ,KITVEQ_FSR_pacman,FSR,,,,20089,e5ce657a237451a3f9255306c79de6946cb4d20e,'Zn4 H104 C164 N8 O20',PASS,
KIVDUQ_ASR_pacman.cif,KIVDUQ,KIVDUQ_ASR_pacman,ASR,,,,9638,6f56a4e35d63ad72e2ded26e15810fb093cfafd4,'K2 La6 H20 C60 O50',PASS,
KIVFAY_ASR_pacman.cif,KIVFAY,KIVFAY_ASR_pacman,ASR,,,,9631,25f0ce31373946a637313d29ec64d6a46ad81313,'K2 Ce6 H20 C60 O50',PASS,
KIVFEC_ASR_pacman.cif,KIVFEC,KIVFEC_ASR_pacman,ASR,,,,9638,98f65c5536344ce86b1931b0607133cb8a021732,'K2 Pr6 H20 C60 O50',PASS,
KIXXOH_ASR_pacman.cif,KIXXOH,KIXXOH_ASR_pacman,ASR,,,,31791,3a085b77d4e4786c49053f599bab6f60951af720,'Cd8 H160 C232 N48 O32',PASS,
KIXXOH_FSR_pacman.cif,KIXXOH,KIXXOH_FSR_pacman,FSR,,,,31826,f95b228ad51930140a5255ec62341831bb86d38e,'Cd8 H160 C232 N48 O32',PASS,
KIYBIF_FSR_pacman.cif,KIYBIF,KIYBIF_FSR_pacman,FSR,,,,19705,6febf12304136272a8080a82a83fe62bcc1aad5a,'Co10 H96 C128 N8 O52',PASS,
KIYJAF_FSR_pacman.cif,KIYJAF,KIYJAF_FSR_pacman,FSR,,,,57111,ebd2173f721057eb9fa9f5bcc06ac82b9ef83f84,'Co20 H304 C380 N72 O92',PASS,
KIYMEM01_ASR_pacman.cif,KIYMEM01,KIYMEM01_ASR_pacman,ASR,,,,6667,6dd4915bd0be284c700c08a702af867db8b73bfa,'Ba4 H24 C48 O16',PASS,
KIYMIQ_ASR_pacman.cif,KIYMIQ,KIYMIQ_ASR_pacman,ASR,,,,10035,96139be361f85988447907f0bb1a7e4bf57391ad,'Na12 H36 C72 O24',PASS,
KIYTOD_ASR_pacman.cif,KIYTOD,KIYTOD_ASR_pacman,ASR,,,,53831,99f2e503da29bbefd7409c6adf3eec489de017f2,'Cu32 Ni8 H168 C448 N32 O128',PASS,
KIYXUN_ASR_pacman.cif,KIYXUN,KIYXUN_ASR_pacman,ASR,,,,40931,f5f2b6205e19cf6bed77a4e1118cfdf41b75f470,'Mn6 Cu48 H120 C312 N24 O108',PASS,
KIZQOC_ASR_pacman.cif,KIZQOC,KIZQOC_ASR_pacman,ASR,,,,10017,7755c3e8db5fe612d558c5dd7efb8fadfd8642d9,'Sr4 H32 C68 O16 F24',PASS,
KIZQOC_FSR_pacman.cif,KIZQOC,KIZQOC_FSR_pacman,FSR,,,,14146,c8b183a8a8485d985e04751734f9afff39a2507f,'Sr4 H68 C84 N4 O24 F24',PASS,
KOBPEZ_ASR_pacman.cif,KOBPEZ,KOBPEZ_ASR_pacman,ASR,,,,9717,974a009e357d05704d704458369265c6d1c1d166,'Cd4 H48 C56 N16 O16',PASS,
KOBPEZ_FSR_pacman.cif,KOBPEZ,KOBPEZ_FSR_pacman,FSR,,,,9737,104ae85b75242abc3c443062173985d85bb98f58,'Cd4 H48 C56 N16 O16',PASS,
